classification,.geo
24,"{""type"":""Point"",""coordinates"":[143.61506752395044,64.58804372972827]}"
24,"{""type"":""Point"",""coordinates"":[136.54574773719767,61.94493836955544]}"
24,"{""type"":""Point"",""coordinates"":[135.0530367842318,68.49733970013858]}"
24,"{""type"":""Point"",""coordinates"":[131.45925048455786,67.01780167169954]}"
24,"{""type"":""Point"",""coordinates"":[135.50123690796775,67.95560901167731]}"
24,"{""type"":""Point"",""coordinates"":[131.8503855707361,67.00830830578505]}"
24,"{""type"":""Point"",""coordinates"":[136.09534468358797,66.90502002770292]}"
24,"{""type"":""Point"",""coordinates"":[131.74999839448748,65.14744521297084]}"
24,"{""type"":""Point"",""coordinates"":[132.4773207664076,66.03981992844474]}"
24,"{""type"":""Point"",""coordinates"":[132.49595683654724,63.92797984075123]}"
24,"{""type"":""Point"",""coordinates"":[138.16956203439875,62.31883236233275]}"
24,"{""type"":""Point"",""coordinates"":[113.36873853262975,66.36797691162555]}"
24,"{""type"":""Point"",""coordinates"":[134.351570467142,64.9291308537982]}"
24,"{""type"":""Point"",""coordinates"":[129.70497737984186,64.2210815071931]}"
24,"{""type"":""Point"",""coordinates"":[140.51085371509583,64.41971142441476]}"
24,"{""type"":""Point"",""coordinates"":[135.68888621781,63.89674956485407]}"
24,"{""type"":""Point"",""coordinates"":[141.90000096971252,63.174931825582796]}"
24,"{""type"":""Point"",""coordinates"":[138.89317491892234,64.38020213124315]}"
24,"{""type"":""Point"",""coordinates"":[138.07972089746727,63.37547268438245]}"
24,"{""type"":""Point"",""coordinates"":[138.5984706706834,64.79623435685666]}"
24,"{""type"":""Point"",""coordinates"":[129.2181984223541,64.39037560365549]}"
24,"{""type"":""Point"",""coordinates"":[133.33032910099737,63.391402539487174]}"
24,"{""type"":""Point"",""coordinates"":[133.841009282022,67.20189816092855]}"
24,"{""type"":""Point"",""coordinates"":[113.55655841936851,66.92359578124113]}"
24,"{""type"":""Point"",""coordinates"":[136.69080482855458,63.122137871294136]}"
24,"{""type"":""Point"",""coordinates"":[131.8511770270291,64.02905147872076]}"
24,"{""type"":""Point"",""coordinates"":[137.90694716451193,64.26098213757861]}"
24,"{""type"":""Point"",""coordinates"":[137.00718040593884,60.793160860140325]}"
24,"{""type"":""Point"",""coordinates"":[141.07427094741072,65.04522892161089]}"
24,"{""type"":""Point"",""coordinates"":[130.90879449790893,64.5916773164093]}"
24,"{""type"":""Point"",""coordinates"":[132.00068509690968,65.03175322107926]}"
24,"{""type"":""Point"",""coordinates"":[144.62855640660317,64.0200280762459]}"
24,"{""type"":""Point"",""coordinates"":[132.41862551956132,65.79722158755717]}"
24,"{""type"":""Point"",""coordinates"":[143.24248247784175,64.37416394775919]}"
24,"{""type"":""Point"",""coordinates"":[131.95795835316454,64.3667858093125]}"
24,"{""type"":""Point"",""coordinates"":[130.86206684394799,64.71044080059991]}"
24,"{""type"":""Point"",""coordinates"":[136.23614671199846,66.16896525305208]}"
24,"{""type"":""Point"",""coordinates"":[113.12921758332793,65.58609896193721]}"
24,"{""type"":""Point"",""coordinates"":[130.14026820366718,63.78340843166674]}"
24,"{""type"":""Point"",""coordinates"":[134.98406566700183,63.51917276520684]}"
24,"{""type"":""Point"",""coordinates"":[136.86118046965777,61.2238052105902]}"
24,"{""type"":""Point"",""coordinates"":[135.0742471428385,66.12945522104717]}"
24,"{""type"":""Point"",""coordinates"":[136.42508555654214,65.48774862759612]}"
24,"{""type"":""Point"",""coordinates"":[137.89798784333462,62.253260526281785]}"
24,"{""type"":""Point"",""coordinates"":[135.5836361817116,69.23732790190111]}"
24,"{""type"":""Point"",""coordinates"":[136.62197964322155,62.1007693565687]}"
24,"{""type"":""Point"",""coordinates"":[136.70265615389468,64.73852015940109]}"
